id,Week,Day,Match,Game,Blue,Red,Winner,blue_ban_1,blue_ban_2,blue_ban_3,blue_ban_4,blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_ban_1,red_ban_2,red_ban_3,red_ban_4,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5
21,2,1,9,2,Workpoint Fighting Fish,RRQ Black Forest,Workpoint Fighting Fish,Riktor,Omen,Wisp,Lindis,Sephera,Tel'Annas,Veres,Baldum,Zill,Florentino,Elsu,Liliana,Kriknak,TeeMee,Xeniel,Ryoma,Kahlii,The Joker
22,2,1,10,1,AHQ Esport Club,Evos.Debut,Evos.Debut,Riktor,Elsu,Liliana,The Joker,Sephera,TeeMee,Tel'Annas,Wonder Woman,Roxie,Florentino,Veres,Kriknak,Quillen,Violet,Omen,Annette,Y'bneth,Jinna
23,2,1,10,2,Evos.Debut,AHQ Esport Club,AHQ Esport Club,Veres,Riktor,The Flash,Natalya,Sephera,Liliana,Lindis,Wonder Woman,Kil'Groth,Florentino,Elsu,Superman,Maloch,Omen,Violet,Y'bneth,Valhein,Tulen
24,2,1,10,3,AHQ Esport Club,Evos.Debut,Evos.Debut,Violet,Riktor,Kriknak,Zill,Elsu,Liliana,Arum,Rourke,Lu Bu,Florentino,Veres,Omen,Xeniel,Y'bneth,Sephera,Superman,Annette,Slimz
25,2,1,11,1,Bazaar Gaming,Buriram United,Buriram United,Elsu,Riktor,Xeniel,Tulen,Veres,Baldum,Nakroth,Omen,The Flash,Florentino,Sephera,Lindis,Quillen,Kriknak,Aleister,TeeMee,Lu Bu,Tel'Annas
26,2,1,11,2,Buriram United,Bazaar Gaming,Buriram United,Riktor,Sephera,The Joker,Ryoma,Tel'Annas,Quillen,Baldum,Superman,Ilumia,Florentino,Elsu,Xeniel,Aleister,Veres,TeeMee,Tulen,Kriknak,Wisp
27,2,2,12,1,Toyota Diamond Cobra,Mega Ignition,Toyota Diamond Cobra,Riktor,Omen,Tulen,Annette,Sephera,Liliana,Xeniel,Quillen,The Joker,Florentino,Elsu,Ryoma,Lindis,Veres,Kriknak,Tel'Annas,Baldum,Ilumia
28,2,2,12,2,Toyota Diamond Cobra,Mega Ignition,Toyota Diamond Cobra,Riktor,Omen,Tulen,Annette,Sephera,Liliana,Xeniel,Zill,The Joker,Florentino,Elsu,Ryoma,Lindis,Veres,Kriknak,Tel'Annas,Kahlii,TeeMee
29,2,2,13,1,Evos.Debut,Workpoint Fighting Fish,Evos.Debut,Veres,Elsu,TeeMee,Mina,Omen,Violet,Annette,Maloch,Aleister,Florentino,Sephera,Ilumia,Y'bneth,Riktor,Kriknak,Liliana,Baldum,Tel'Annas
30,2,2,13,2,Workpoint Fighting Fish,Evos.Debut,Evos.Debut,Riktor,Omen,Aleister,Kriknak,Sephera,Elsu,Liliana,Zill,Ryoma,Florentino,Veres,Y'bneth,Xeniel,Superman,Annette,Tel'Annas,Nakroth,Ilumia
31,2,2,14,1,AHQ Esport Club,Buriram United,Buriram United,Sephera,Superman,Ilumia,Aleister,Elsu,Omen,Liliana,Thane,Rourke,Florentino,Violet,Kriknak,Zephys,Tel'Annas,TeeMee,Quillen,Veres,Tulen
32,2,2,14,2,Buriram United,AHQ Esport Club,Buriram United,Violet,Omen,TeeMee,Lindis,Elsu,Zill,Baldum,Superman,Maloch,Florentino,Sephera,Lu Bu,Riktor,Veres,Xeniel,Liliana,Y'bneth,Fennik
33,3,1,15,1,Toyota Diamond Cobra,Evos.Debut,Toyota Diamond Cobra,Omen,Annette,Y'bneth,Nakroth,Sephera,Xeniel,Kriknak,Arum,Elsu,Mina,Maloch,Riktor,Florentino,Veres,Liliana,Superman,Alice,Murad
